article_id,article_text,source,topic
12,"Artificial intelligence (AI) makes it possible for machines to learn from experience, adjust to new inputs and perform human-like tasks.  Most AI examples that you hear about today – from chess-playing computers to self-driving cars – rely heavily on deep learning and natural language processing.  Using these technologies, computers can be trained to accomplish specific tasks by processing large amounts of data and recognizing patterns in the data. ",https://www. sas. com/en_hk/insights/analytics/what-is-natural-language-processing-nlp. html,Artificial Intelligence
13,"A machine with the ability to perform cognitive functions such as perceiving, learning, reasoning and solve problems are deemed to hold an artificial intelligence. Artificial intelligence exists when a machine has cognitive ability.  The benchmark for AI is the human level concerning reasoning, speech, and vision. ",https://www. guru99. com/artificial-intelligence-tutorial. html,Artificial Intelligence
14,"Artificial intelligence (AI) has gradually been making its way into business software and will continue to for the foreseeable future.  These intelligent applications have incorporated machine and deep learning algorithms into their everyday functionality to better automate tasks for the user.  Automating these processes saves the user time and energy, makes their job simpler, and allows employees to work more efficiently and productively.  While there are some that believe AI is out to replace their jobs, they will be pleasantly surprised that, in most cases, this is a false assumption.  Instead, the application of AI will simply make their jobs easier.  For the developers interested in building their own intelligent applications, the AI platforms, machine learning algorithms, and deep learning libraries and frameworks used to create such functionality are found in the following subcategories:",https://www. g2crowd. com/categories/artificial-intelligence,Artificial Intelligence
15,"The blockchain is an undeniably ingenious invention – the brainchild of a person or group of people known by the pseudonym, Satoshi Nakamoto.  By allowing digital information to be distributed but not copied, blockchain technology created the backbone of a new type of internet.  Originally devised for the digital currency, Bitcoin ,the tech community has now found other potential uses for the technology. ",https://blockgeeks. com/guides/what-is-blockchain-technology/,Blockchain
16,"A blockchain, originally block chain,is a growing list of records, called blocks, which are linked using cryptography. Each block contains a cryptographic hash of the previous block,a timestamp, and transaction data (generally represented as a merkle tree root hash).  By design, a blockchain is resistant to modification of the data.  It is  an open, distributed ledger that can record transactions between two parties efficiently and in a verifiable and permanent way . For use as a distributed ledger, a blockchain is typically managed by a peer-to-peer network collectively adhering to a protocol for inter-node communication and validating new blocks.  Once recorded, the data in any given block cannot be altered retroactively without alteration of all subsequent blocks, which requires consensus of the network majority.  Although blockchain records are not unalterable, blockchains may be considered secure by design and exemplify a distributed computing system with high Byzantine fault tolerance.  Decentralized consensus has therefore been claimed with a blockchain. ",https://en. wikipedia. org/wiki/Blockchain,Blockchain
17,"With a blockchain, many people can write entries into a record of information, and a community of users can control how the record of information is amended and updated.  Likewise, Wikipedia entries are not the product of a single publisher.  No one person controls the information. Descending to ground level, however, the differences that make blockchain technology unique become more clear.  While both run on distributed networks (the internet), Wikipedia is built into the World Wide Web (WWW) using a client-server network model. ",https://www. coindesk. com/information/what-is-blockchain-technology,Blockchain
18,"A blockchain is a public ledger of information collected through a network that sits on top of the internet.  It is how this information is recorded that gives blockchain its groundbreaking potential. Blockchain technology is not a company, nor is it an app, but rather an entirely new way of documenting data on the internet.  The technology can be used to develop blockchain applications, such as social networks, messengers, games, exchanges, storage platforms, voting systems, prediction markets, online shops and much more.  In this sense, it is similar to the internet, which is why some have dubbed it “The Internet 3. 0”. ",https://lisk. io/academy/blockchain-basics/what-is-blockchain,Blockchain
19,"Blockchain technology is commonly associated with Bitcoin and other cryptocurrencies, but that’s just the tip of the iceberg.  Some people think blockchain could end up transforming a number of important industries, from health care to politics. Whether you’re simply looking to invest in Bitcoin, trade some Ethereum, or are just intrigued about what the heck a blockchain actually is, you’ve come to the right place. ",https://www. digitaltrends. com/computing/what-is-a-blockchain/,Blockchain
20,"A blockchain is the structure of data that represents a financial ledger entry, or a record of a transaction.  Each transaction is digitally signed to ensure its authenticity and that no one tampers with it, so the ledger itself and the existing transactions within it are assumed to be of high integrity. The real magic comes, however, from these digital ledger entries being distributed among a deployment or infrastructure.  These additional nodes and layers in the infrastructure serve the purpose of providing a consensus about the state of a transaction at any given second; they all have copies of the existing authenticated ledger distributed amongst them. ",https://www. cio. com/article/3055847/what-is-blockchain-and-how-does-it-work. html,Blockchain
21,"The Internet of things (IoT) is the extension of Internet connectivity into physical devices and everyday objects.  Embedded with electronics, Internet connectivity, and other forms of hardware (such as sensors), these devices can communicate and interact with others over the Internet, and they can be remotely monitored and controlled. The definition of the Internet of things has evolved due to convergence of multiple technologies, real-time analytics, machine learning, commodity sensors, and embedded systems. raditional fields of embedded systems, wireless sensor networks, control systems, automation (including home and building automation), and others all contribute to enabling the Internet of things.  In the consumer market, IoT technology is most synonymous with products pertaining to the concept of the  smart home , covering devices and appliances (such as lighting fixtures, thermostats, home security systems and cameras, and other home appliances) that support one or more common ecosystems, and can be controlled via devices associated with that ecosystem, such as smartphones and smart speakers. ",https://en. wikipedia. org/wiki/Internet_of_things,Internet of things
22,"The internet of things, or IoT, is a system of interrelated computing devices, mechanical and digital machines, objects, animals or people that are provided with unique identifiers and the ability to transfer data over a network without requiring human-to-human or human-to-computer interaction. ",https://internetofthingsagenda. techtarget. com/definition/Internet-of-Things-IoT,Internet of things
23,"The Internet of Things is a network of physical objects – vehicles, machines, home appliances, and more – that use sensors and APIs to connect and exchange data over the Internet. ",https://www. sap. com/india/trends/internet-of-things. html,Internet of things
24,"The internet of things (IoT) is a computing concept that describes the idea of everyday physical objects being connected to the internet and being able to identify themselves to other devices.  The term is closely identified with RFID as the method of communication, although it also may include other sensor technologies, wireless technologies or QR codes. The IoT is significant because an object that can represent itself digitally becomes something greater than the object by itself.  No longer does the object relate just to its user, but it is now connected to surrounding objects and database data.  When many objects act in unison, they are known as having  ambient intelligence.  ",https://www. techopedia. com/definition/28247/internet-of-things-iot,Internet of things
25,"The Internet of Things, or  IoT  for short, is about extending the power of the internet beyond computers and smartphones to a whole range of other things, processes and environments.  Those  connected  things are used to gather information, send information back, or both.  IoT allows businesses and people to be more connected to the world around them and to do more meaningful, higher-level work. ",https://www. iotforall. com/what-is-iot-simple-explanation/,Internet of things
26,"IoT is short for Internet of Things.  The Internet of Things refers to the ever-growing network of physical objects that feature an IP address for internet connectivity, and the communication that occurs between these objects and other Internet-enabled devices and systems.  The Internet of Things extends internet connectivity beyond traditional devices like desktop and laptop computers, smartphones and tablets to a diverse range of devices and everyday things that utilize embedded technology to communicate and interact with the external environment, all via the Internet. ",https://www. webopedia. com/TERM/I/internet_of_things. html,Internet of things
27,"Internet of Things (IoT) is an ecosystem of connected physical objects that are accessible through the internet.  The ‘thing’ in IoT could be a person with a heart monitor or an automobile with built-in-sensors, i. e.  objects that have been assigned an IP address and have the ability to collect and transfer data over a network without manual assistance or intervention.  The embedded technology in the objects helps them to interact with internal states or the external environment, which in turn affects the decisions taken. ",https://www. happiestminds. com/Insights/internet-of-things/,Internet of things
28,"The Internet of Things (IoT) refers to a network comprised of physical objects capable of gathering and sharing electronic information.  The Internet of Things includes a wide variety of “smart” devices, from industrial machines that transmit data about the production process to sensors that track information about the human body.  Often, these devices use internet protocol (IP), the same protocol that identifies computers over the world wide web and allows them to communicate with one another.  The goal behind the internet of things is to have devices that self report in real time, improving efficiency and bringing important information to the surface more quickly than a system depending on human intervention.  ",https://www. investopedia. com/terms/i/internet-things. asp,Internet of things
29,"The Internet of Things (IoT), also sometimes referred to as the Internet of Everything (IoE), consists of all the web-enabled devices that collect, send and act on data they acquire from their surrounding environments using embedded sensors, processors and communication hardware.  These devices, often called  connected  or  smart  devices, can sometimes talk to other related devices, a process called machine-to-machine(M2M) communication, and act on the information they get from one another.  Humans can interact with the gadgets to set them up, give them instructions or access the data, but the devices do most of the work on their own without human intervention.  Their existence has been made possible by all the tiny mobile components that are available these days, as well as the always-online nature of our home and business networks. ",https://computer. howstuffworks. com/internet-of-things. htm,Internet of things
30,The Internet of Things (IoT) is the network of physical objects that contain embedded technology to communicate and sense or interact with their internal states or the external environment. ,https://www. gartner. com/it-glossary/internet-of-things/,Internet of things
31,"The Internet of Things is the concept of everyday objects – from industrial machines to wearable devices – using built-in sensors to gather data and take action on that data across a network.  So it’s a building that uses sensors to automatically adjust heating and lighting.  Or production equipment alerting maintenance personnel to an impending failure.  Simply put, the Internet of Things is the future of technology that can make our lives more efficient. ",https://www. sas. com/en_in/insights/big-data/internet-of-things. html,Internet of things
40,"Big data analytics is the often complex process of examining large and varied data sets -- or big data-- to uncover information including hidden patterns, unknown correlations, market trends and customer preferences that can help organizations make informed business decisions",https://searchbusinessanalytics. techtarget. com/definition/big-data-analytics,Big data analytics
41,"Big data analytics is the often complex process of examining large and varied data sets or big data-- to uncover information including hidden patterns, unknown correlations, market trends and customer preferences that can help organizations make informed business decisions. ",https://searchbusinessanalytics. techtarget. com/definition/big-data-analytics,Big data analytics
42,"Big data analytics examines large amounts of data to uncover hidden patterns, correlations and other insights.  With today's technology, itís possible to analyze your data and get answers from it almost immediately an effort thats slower and less efficient with more traditional business intelligence solutions. ",https://www. sas. com/en_in/insights/analytics/big-data-analytics. html,Big data analytics
43,"Big Data Analytics offers a nearly endless source of business and informational insight, that can lead to operational improvement and new opportunities for companies to provide unrealized revenue across almost every industry.  From use cases like customer personalization, to risk mitigation, to fraud detection, to internal operations analysis, and all the other new use cases arising near-daily, the Value hidden in company data has companies looking to create a cutting-edge analytics operation. ",https://www. qubole. com/big-data-analytics/,Big data analytics
44,"Big Data analytics is the process of collecting, organizing and analyzing large sets of data (called Big Data) to discover patterns and other useful information.  Big Data analytics can help organizations to better understand the information contained within the data and will also help identify the data that is most important to the business and future business decisions.  Analysts working with Big Data typically want the knowledge that comes from analyzing the data. ",https://www. webopedia. com/TERM/B/big_data_analytics. html,Big data analytics
45,"Big data analytics refers to the strategy of analyzing large volumes of data, or big data.  This big data is gathered from a wide variety of sources, including social networks, videos, digital images, sensors, and sales transaction records.  The aim in analyzing all this data is to uncover patterns and connections that might otherwise be invisible, and that might provide valuable insights about the users who created it.  Through this insight, businesses may be able to gain an edge over their rivals and make superior†business decisions. ",https://www. techopedia. com/definition/28659/big-data-analytics,Big data analytics
46,"Big Data Analytics†is the process of examining large data sets containing a variety of data types i. e. , Big Data  to uncover hidden patterns, unknown correlations, market trends, customer preferences, and other useful information.  Companies and enterprises that implement Big Data Analytics often reap several business benefits, including more effective marketing campaigns, the discovery of new revenue opportunities, improved customer service delivery, more efficient operations, and competitive advantages.  Companies implement Big Data Analytics because they want to make more informed business decisions.  Big Data Analytics gives analytics professionals, such as data scientists and predictive modelers, the ability to analyze Big Data from multiple and varied sources, including transactional data and other structured data. ",https://www. ngdata. com/what-is-big-data-analytics/,Big data analytics
47,"Big data is a term applied to data sets whose size or type is beyond the ability of traditional relational databases to capture, manage, and process the data with low-latency.  And it has one or more of the following characteristics high volume, high velocity, or high variety.  Big data comes from sensors, devices, video/audio, networks, log files, transactional applications, web, and social media - much of it generated in real time and in a very large scale. ",https://www. ibm. com/analytics/hadoop/big-data-analytics,Big data analytics
48,"Analyzing big data allows analysts, researchers, and business users to make better and faster decisions using data that was previously inaccessible or unusable.  Using advanced analytics techniques such as text analytics, machine learning, predictive analytics, data mining, statistics, and natural language processing, businesses can analyze previously untapped data sources independent or together with their existing enterprise data to gain new insights resulting in better and faster decisions. ",https://www. ibm. com/analytics/hadoop/big-data-analytics,Big data analytics
49,"Big data analytics is the process of extracting useful information by analysing different types of big data sets.  Big data analytics is used to discover hidden patterns, market trends and consumer preferences, for the benefit of organizational decision making.  There are several steps and technologies involved in big data analytics. ",https://www. marutitech. com/big-data-analytics-need-business/,Big data analytics
50,"Big Data analytics involves the use of analytics techniques like machine learning, data mining, natural language processing, and statistics.  The data is extracted, prepared and blended to provide analysis for the businesses.  Large enterprises and multinational organizations use these techniques widely these days in different ways. ",https://www. whizlabs. com/blog/big-data-analytics-importance/,Big data analytics
51,"Big data analytics is quickly gaining adoption.  Enterprises have awakened to the reality that their big data stores represent a largely untapped gold mine that could help them lower costs, increase revenue and become more competitive.  They don't just want to store their vast quantities of data, they want to convert that data into valuable insights that can help improve their companies. ",https://www. datamation. com/big-data/big-data-analytics. html,Big data analytics
52,Big Data analytics tools and techniques are rising in demand due to the use of Big Data in businesses.  Organizations can find new opportunities and gain new insights to run their business efficiently.  These tools help in providing meaningful information for making better business decisions. ,https://www. whizlabs. com/blog/big-data-analytics-importance/,Big data analytics
53,The companies can improve their strategies by keeping in mind the customer focus.  Big data analytics efficiently helps operations to become more effective.  This helps in improving the profits of the company. ,https://www. whizlabs. com/blog/big-data-analytics-importance/,Big data analytics
54,"Big data analytics tools like Hadoop helps in reducing the cost of storage.  This further increases the efficiency of the business.  With latest analytics tools, analysis of data becomes easier and quicker.  This, in turn, leads to faster decision making saving time and energy. ",https://www. whizlabs. com/blog/big-data-analytics-importance/,Big data analytics
55,"The volume of data that one has to deal has exploded to unimaginable levels in the past decade, and at the same time, the price of data storage has systematically reduced.  Private companies and research institutions capture terabytes of data about their usersí interactions, business, social media, and also sensors from devices such as mobile phones and automobiles.  The challenge of this era is to make sense of this sea of data. This is where†big data analytics comes into picture. ",https://www. tutorialspoint. com/big_data_analytics/,Big data analytics
56,"Big data analytics isnt a synonym for data science, though the two are often confused. It is just one step in the method, where teams actually collect and analyze the big data coffee in hand and run queries and view reports.  Like physics, data science is the entire field of study, whereas big data analytics is just a tool and an activity, like a lab experimentóalbeit one with stunning versatility. ",https://mixpanel. com/blog/2018/12/11/big-data-analytics/,Big data analytics
57,"A blockchain is, in the simplest of terms, a time-stamped series of immutable record of data that is managed by cluster of computers not owned by any single entity.  Each of these blocks of data (i. e.  block) are secured and bound to each other using cryptographic principles (i. e.  chain). ",https://blockgeeks. com/guides/what-is-blockchain-technology/,Blockchain
58,A blockchain is a public ledger of information collected through a network that sits on top of the internet.  It is how this information is recorded that gives blockchain its groundbreaking potential. ,https://lisk. io/academy/blockchain-basics/what-is-blockchain,Blockchain
59,"A blockchain is a public ledger of all bitcoin transactions that have ever been executed.  A block is the ìcurrentî part of a blockchain which records some or all of the recent transactions, and once completed, goes into the blockchain as permanent database.  Each time a block gets completed, a new block is generated.  Blocks are linked to each other (like a chain) in proper linear, chronological order with every block containing a hash of the previous block.  To use conventional banking as an analogy, the blockchain is like a full history of banking transactions.  Bitcoin transactions are entered chronologically in a blockchain just the way bank transactions are.  Meanwhile, blocks, are like individual bank statements.  The full copy of the blockchain has records of every bitcoin transaction ever executed.  It can thus provide insight about facts like how much value belonged to a particular address at any point in the past.  Some developers have begun looking at the creation of other different blockchains as they do not believe on depending on a single blockchain.  Parallel blockchains and sidechains allow for tradeoffs and improved scalability using alternative, completely independent blockchains, thus, allowing for more innovation. ",https://gomedici. com/an-overview-of-blockchain-technology/,Blockchain
60,"Blockchain technology is commonly associated with Bitcoin and other cryptocurrencies, but thatís just the tip of the iceberg.  Some people think blockchain could end up transforming a number of important industries, from health care to politics",https://www. digitaltrends. com/computing/what-is-a-blockchain/,Blockchain
61,"Cloud computing is the on demand availability of computer system resources, especially data storage and computing power, without direct active management by the user.  The term is generally used to describe data centers available to many users over the Internet.  Large clouds, predominant today, often have functions distributed over multiple locations from central servers.  If the connection to the user is relatively close, it may be designated an edge server. ",https://en. wikipedia. org/wiki/Cloud_computing,Cloud Computing
62,"Simply put, cloud computing is the delivery of computing services servers, storage, databases, networking, software, analytics, intelligence and moreóover the Internet (the cloud) to offer faster innovation, flexible resources and economies of scale.  You typically pay only for cloud services you use, helping lower your operating costs, run your infrastructure more efficiently and scale as your business needs change. ",https://azure. microsoft. com/en-in/overview/what-is-cloud-computing/,Cloud Computing
63,"Cloud computing is a general term for anything that involves delivering hosted services over the Internet.  These services are broadly divided into three categories: Infrastructure-as-a-Service (IaaS), Platform-as-a-Service (PaaS) and Software-as-a-Service (SaaS).  The name cloud computing was inspired by the cloud symbol that's often used to represent the Internet in flowcharts and diagrams. ",https://searchcloudcomputing. techtarget. com/definition/cloud-computing,Cloud Computing
64,"Cloud computing is the delivery of different services through the internet.  These resources include tools and applications like data storage, servers, databases, networking, and software.  Cloud computing is a popular option for people and businesses for a number of reasons including cost savings, increased productivity, speed and efficiency, performance, and security. ",https://www. techopedia. com/definition/2/cloud-computing,Cloud Computing
65,"Cloud computing is the the use of various services, such as software development platforms, servers, storage and software, over the internet, often referred to as the  cloud.  ",https://www. techopedia. com/definition/2/cloud-computing,Cloud Computing
66,"Whether you are running applications that share photos to millions of mobile users or youíre supporting the critical operations of your business, a cloud services platform provides rapid access to flexible and low cost IT resources.  With cloud computing, you donít need to make large upfront investments in hardware and spend a lot of time on the heavy lifting of managing that hardware.  Instead, you can provision exactly the right type and size of computing resources you need to power your newest bright idea or operate your IT department.  You can access as many resources as you need, almost instantly, and only pay for what you use. ",https://aws. amazon. com/what-is-cloud-computing/,Cloud Computing
67,"Essentially, cloud computing is a kind of outsourcing of computer programs.  Using cloud computing, users are able to access software and applications from wherever they are; the computer programs are being hosted by an outside party and reside in the cloud.  This means that users do not have to worry about things such as storage and power, they can simply enjoy the end result. ",https://www. salesforce. com/what-is-cloud-computing/#,Cloud Computing
68,"Cloud computing is a type of computing that relies on shared computing resources rather than having local servers or personal devices to handle applications.  In its most simple description, cloud computing is taking services ( cloud services ) and moving them outside an organization's firewall.  Applications, storage and other services are accessed via the Web.  The services are delivered and used over the Internet and are paid for by the cloud customer on an as-needed or pay-per-use business model. ",https://www. webopedia. com/TERM/C/cloud_computing. html,Cloud Computing
69,"Cloud computing, often referred to as simply the cloud,is the delivery of on-demand computing resources everything from applications to data centers  over the internet on a pay-for-use basis. ",https://www. ibm. com/cloud/learn/cloud-computing,Cloud Computing
70,"Cloud computing is the delivery of on-demand computing services -- from applications to storage and processing power -- typically over the internet and on a pay-as-you-go basis.  Rather than owning their own computing infrastructure or data centers, companies can rent access to anything from applications to storage from a cloud service provider. ",https://www. zdnet. com/article/what-is-cloud-computing-everything-you-need-to-know-from-public-and-private-cloud-to-software-as-a/,Cloud Computing
71,"What is cloud computing? How does it work? The term cloud when talking about technology or computing, is not new.  In simple terms,cloud is a metaphor for the Internet.  In fact, cloud symbols are repeatedly used to depict the Internet on diagrams.  If you think of the Internet as a virtual spacethat connects users from all over the globe, it is like a cloud, sharing information by the way of networks. ",https://www. fastmetrics. com/blog/tech/what-is-cloud-computing/,Cloud Computing
72,"In the simplest terms, Cloud Computing is when you use a computer/server which is provided to you by someone else.  This server has to be accessed over the internet by using a web-based tool for personal or business use. ",https://intellipaat. com/blog/what-is-cloud-computing/,Cloud Computing
73,"Cloud Computing is the use of hardware and software to deliver a service over a network (typically the Internet).  With cloud computing, users can access files and use applications from any device that can access the Internet. ",https://www. lenovo. com/in/en/faqs/laptop-faqs/what-is-cloud-computing/,Cloud Computing
74,"In the simplest terms, cloud computing means storing and accessing data and programs over the Internet instead of your computer's hard drive.  The cloud is just a metaphor for the Internet.  It goes back to the days of flowcharts and presentations that would represent the gigantic server-farm infrastructure of the Internet as nothing but avpuffy, white cumulus cloud, accepting connections and doling out information as it floats. ",https://www. pcmag. com/article/256563/what-is-cloud-computing,Cloud Computing
75,"Cloud Computing can be defined as delivering computing power( CPU, RAM, Network Speeds, Storage OS software) a service over a network (usually on the internet) rather than physically having the computing resources at the customer location. ",https://www. guru99. com/cloud-computing-for-beginners. html,Cloud Computing
76,"Cloud computing has two meanings.  The most common refers to running workloads remotely over the internet in a commercial providerís data center, also known as the public cloud model.  Popular public cloud offeringsósuch as Amazon Web Services (AWS), Salesforceís CRM system, and Microsoft Azureóall exemplify this familiar notion of cloud computing.  Today, most businesses take a multicloudvapproach, which simply means they use more than one public cloud service. ",https://www. infoworld. com/article/2683784/what-is-cloud-computing. html,Cloud Computing
